,fl_date,number_flight,number_anormals,anormal
0,2010-01-01,237,0.0,0.0
1,2010-01-02,226,4.0,1.0
2,2010-01-03,252,4.0,1.0
3,2010-01-04,298,4.0,1.0
4,2010-01-05,293,0.0,0.0
5,2010-01-06,298,0.0,0.0
6,2010-01-07,308,0.0,0.0
7,2010-01-08,306,1.0,1.0
8,2010-01-09,204,0.0,0.0
9,2010-01-10,266,0.0,0.0
10,2010-01-11,315,0.0,0.0
11,2010-01-12,302,0.0,0.0
12,2010-01-13,305,0.0,0.0
13,2010-01-14,321,0.0,0.0
14,2010-01-15,322,0.0,0.0
15,2010-01-16,209,0.0,0.0
16,2010-01-17,256,1.0,1.0
17,2010-01-18,278,6.0,1.0
18,2010-01-19,298,1.0,1.0
19,2010-01-20,301,1.0,1.0
20,2010-01-21,317,0.0,0.0
21,2010-01-22,315,0.0,0.0
22,2010-01-23,205,0.0,0.0
23,2010-01-24,264,4.0,1.0
24,2010-01-25,275,1.0,1.0
25,2010-01-26,298,0.0,0.0
26,2010-01-27,302,0.0,0.0
27,2010-01-28,313,0.0,0.0
28,2010-01-29,315,0.0,0.0
29,2010-01-30,181,0.0,0.0
30,2010-01-31,260,1.0,1.0
31,2010-02-01,312,0.0,0.0
32,2010-02-02,296,1.0,1.0
33,2010-02-03,292,0.0,0.0
34,2010-02-04,317,0.0,0.0
35,2010-02-05,280,0.0,0.0
36,2010-02-06,171,1.0,1.0
37,2010-02-07,221,0.0,0.0
38,2010-02-08,291,1.0,1.0
39,2010-02-09,251,0.0,0.0
40,2010-02-10,125,0.0,0.0
41,2010-02-11,202,1.0,1.0
42,2010-02-12,313,0.0,0.0
43,2010-02-13,227,1.0,1.0
44,2010-02-14,277,0.0,0.0
45,2010-02-15,307,0.0,0.0
46,2010-02-16,260,5.0,1.0
47,2010-02-17,308,2.0,1.0
48,2010-02-18,323,0.0,0.0
49,2010-02-19,330,0.0,0.0
50,2010-02-20,234,1.0,1.0
51,2010-02-21,290,0.0,0.0
52,2010-02-22,325,0.0,0.0
53,2010-02-23,313,1.0,1.0
54,2010-02-24,308,3.0,1.0
55,2010-02-25,283,2.0,1.0
56,2010-02-26,261,5.0,1.0
57,2010-02-27,225,2.0,1.0
58,2010-02-28,282,1.0,1.0
59,2010-03-01,323,0.0,0.0
60,2010-03-02,313,1.0,1.0
61,2010-03-03,318,0.0,0.0
62,2010-03-04,323,1.0,1.0
63,2010-03-05,333,1.0,1.0
64,2010-03-06,231,1.0,1.0
65,2010-03-07,290,0.0,0.0
66,2010-03-08,324,1.0,1.0
67,2010-03-09,316,0.0,0.0
68,2010-03-10,322,0.0,0.0
69,2010-03-11,324,1.0,1.0
70,2010-03-12,331,2.0,1.0
71,2010-03-13,221,2.0,1.0
72,2010-03-14,244,5.0,1.0
73,2010-03-15,285,7.0,1.0
74,2010-03-16,316,0.0,0.0
75,2010-03-17,325,0.0,0.0
76,2010-03-18,328,2.0,1.0
77,2010-03-19,333,1.0,1.0
78,2010-03-20,234,0.0,0.0
79,2010-03-21,285,0.0,0.0
80,2010-03-22,318,1.0,1.0
81,2010-03-23,315,0.0,0.0
82,2010-03-24,316,0.0,0.0
83,2010-03-25,330,0.0,0.0
84,2010-03-26,331,0.0,0.0
85,2010-03-27,236,0.0,0.0
86,2010-03-28,288,0.0,0.0
87,2010-03-29,319,1.0,1.0
88,2010-03-30,302,2.0,1.0
89,2010-03-31,320,0.0,0.0
90,2010-04-01,325,0.0,0.0
91,2010-04-02,323,2.0,1.0
92,2010-04-03,235,0.0,0.0
93,2010-04-04,288,0.0,0.0
94,2010-04-05,324,0.0,0.0
95,2010-04-06,325,1.0,1.0
96,2010-04-07,323,1.0,1.0
97,2010-04-08,326,0.0,0.0
98,2010-04-09,326,1.0,1.0
99,2010-04-10,232,0.0,0.0
100,2010-04-11,292,0.0,0.0
101,2010-04-12,328,1.0,1.0
102,2010-04-13,326,0.0,0.0
103,2010-04-14,326,2.0,1.0
104,2010-04-15,330,0.0,0.0
105,2010-04-16,332,0.0,0.0
106,2010-04-17,244,0.0,0.0
107,2010-04-18,301,0.0,0.0
108,2010-04-19,328,0.0,0.0
109,2010-04-20,328,0.0,0.0
110,2010-04-21,327,1.0,1.0
111,2010-04-22,330,1.0,1.0
112,2010-04-23,331,1.0,1.0
113,2010-04-24,240,0.0,0.0
114,2010-04-25,305,3.0,1.0
115,2010-04-26,327,2.0,1.0
116,2010-04-27,321,1.0,1.0
117,2010-04-28,319,1.0,1.0
118,2010-04-29,325,1.0,1.0
119,2010-04-30,325,0.0,0.0
120,2010-05-01,228,0.0,0.0
121,2010-05-02,279,1.0,1.0
122,2010-05-03,320,0.0,0.0
123,2010-05-04,317,0.0,0.0
124,2010-05-05,323,1.0,1.0
125,2010-05-06,325,0.0,0.0
126,2010-05-07,328,0.0,0.0
127,2010-05-08,222,1.0,1.0
128,2010-05-09,284,2.0,1.0
129,2010-05-10,325,1.0,1.0
130,2010-05-11,319,1.0,1.0
131,2010-05-12,318,0.0,0.0
132,2010-05-13,323,0.0,0.0
133,2010-05-14,324,1.0,1.0
134,2010-05-15,226,0.0,0.0
135,2010-05-16,287,2.0,1.0
136,2010-05-17,324,1.0,1.0
137,2010-05-18,318,2.0,1.0
138,2010-05-19,318,2.0,1.0
139,2010-05-20,329,2.0,1.0
140,2010-05-21,327,1.0,1.0
141,2010-05-22,226,0.0,0.0
142,2010-05-23,288,0.0,0.0
143,2010-05-24,323,0.0,0.0
144,2010-05-25,320,0.0,0.0
145,2010-05-26,322,1.0,1.0
146,2010-05-27,327,1.0,1.0
147,2010-05-28,328,0.0,0.0
148,2010-05-29,222,0.0,0.0
149,2010-05-30,239,0.0,0.0
150,2010-05-31,308,1.0,1.0
151,2010-06-01,309,1.0,1.0
152,2010-06-02,317,1.0,1.0
153,2010-06-03,319,5.0,1.0
154,2010-06-04,323,1.0,1.0
155,2010-06-05,224,0.0,0.0
156,2010-06-06,282,5.0,1.0
157,2010-06-07,326,0.0,0.0
158,2010-06-08,323,1.0,1.0
159,2010-06-09,326,1.0,1.0
160,2010-06-10,328,1.0,1.0
161,2010-06-11,335,1.0,1.0
162,2010-06-12,234,0.0,0.0
163,2010-06-13,290,2.0,1.0
164,2010-06-14,329,0.0,0.0
165,2010-06-15,333,1.0,1.0
