,fl_date,number_flight,number_anormals,anormal
0,2010-01-01,141,0.0,0.0
1,2010-01-02,143,0.0,0.0
2,2010-01-03,182,0.0,0.0
3,2010-01-04,213,0.0,0.0
4,2010-01-05,216,0.0,0.0
5,2010-01-06,222,0.0,0.0
6,2010-01-07,209,1.0,1.0
7,2010-01-08,214,0.0,0.0
8,2010-01-09,143,0.0,0.0
9,2010-01-10,189,0.0,0.0
10,2010-01-11,225,0.0,0.0
11,2010-01-12,222,0.0,0.0
12,2010-01-13,224,1.0,1.0
13,2010-01-14,226,0.0,0.0
14,2010-01-15,226,0.0,0.0
15,2010-01-16,148,0.0,0.0
16,2010-01-17,181,0.0,0.0
17,2010-01-18,216,1.0,1.0
18,2010-01-19,222,1.0,1.0
19,2010-01-20,225,1.0,1.0
20,2010-01-21,226,0.0,0.0
21,2010-01-22,224,0.0,0.0
22,2010-01-23,147,0.0,0.0
23,2010-01-24,186,2.0,1.0
24,2010-01-25,207,2.0,1.0
25,2010-01-26,222,1.0,1.0
26,2010-01-27,224,0.0,0.0
27,2010-01-28,219,0.0,0.0
28,2010-01-29,218,2.0,1.0
29,2010-01-30,94,1.0,1.0
30,2010-01-31,182,2.0,1.0
31,2010-02-01,224,1.0,1.0
32,2010-02-02,216,0.0,0.0
33,2010-02-03,211,2.0,1.0
34,2010-02-04,227,0.0,0.0
35,2010-02-05,133,1.0,1.0
36,2010-02-08,78,1.0,1.0
37,2010-02-09,108,0.0,0.0
38,2010-02-11,73,0.0,0.0
39,2010-02-12,203,1.0,1.0
40,2010-02-13,140,0.0,0.0
41,2010-02-14,181,0.0,0.0
42,2010-02-15,210,0.0,0.0
43,2010-02-16,212,0.0,0.0
44,2010-02-17,225,0.0,0.0
45,2010-02-18,228,0.0,0.0
46,2010-02-19,230,0.0,0.0
47,2010-02-20,150,0.0,0.0
48,2010-02-21,199,0.0,0.0
49,2010-02-22,226,0.0,0.0
50,2010-02-23,224,0.0,0.0
51,2010-02-24,221,0.0,0.0
52,2010-02-25,202,0.0,0.0
53,2010-02-26,153,0.0,0.0
54,2010-02-27,145,0.0,0.0
55,2010-02-28,194,1.0,1.0
56,2010-03-01,229,0.0,0.0
57,2010-03-02,218,0.0,0.0
58,2010-03-03,226,0.0,0.0
59,2010-03-04,226,0.0,0.0
60,2010-03-05,230,0.0,0.0
61,2010-03-06,154,0.0,0.0
62,2010-03-07,194,1.0,1.0
63,2010-03-08,230,0.0,0.0
64,2010-03-09,229,0.0,0.0
65,2010-03-10,229,0.0,0.0
66,2010-03-11,228,0.0,0.0
67,2010-03-12,224,2.0,1.0
68,2010-03-13,145,1.0,1.0
69,2010-03-14,186,0.0,0.0
70,2010-03-15,224,0.0,0.0
71,2010-03-16,229,2.0,1.0
72,2010-03-17,230,0.0,0.0
73,2010-03-18,229,0.0,0.0
74,2010-03-19,227,2.0,1.0
75,2010-03-20,156,1.0,1.0
76,2010-03-21,197,0.0,0.0
77,2010-03-22,225,1.0,1.0
78,2010-03-23,228,0.0,0.0
79,2010-03-24,223,0.0,0.0
80,2010-03-25,229,2.0,1.0
81,2010-03-26,232,0.0,0.0
82,2010-03-27,155,0.0,0.0
83,2010-03-28,200,0.0,0.0
84,2010-03-29,229,0.0,0.0
85,2010-03-30,219,1.0,1.0
86,2010-03-31,229,0.0,0.0
87,2010-04-01,230,1.0,1.0
88,2010-04-02,229,0.0,0.0
89,2010-04-03,155,1.0,1.0
90,2010-04-04,199,0.0,0.0
91,2010-04-05,230,1.0,1.0
92,2010-04-06,221,0.0,0.0
93,2010-04-07,224,1.0,1.0
94,2010-04-08,229,0.0,0.0
95,2010-04-09,228,0.0,0.0
96,2010-04-10,154,0.0,0.0
97,2010-04-11,204,1.0,1.0
98,2010-04-12,230,1.0,1.0
99,2010-04-13,223,0.0,0.0
100,2010-04-14,229,0.0,0.0
101,2010-04-15,229,0.0,0.0
102,2010-04-16,227,0.0,0.0
103,2010-04-17,156,0.0,0.0
104,2010-04-18,204,0.0,0.0
105,2010-04-19,227,0.0,0.0
106,2010-04-20,224,0.0,0.0
107,2010-04-21,228,0.0,0.0
108,2010-04-22,229,1.0,1.0
109,2010-04-23,228,0.0,0.0
110,2010-04-24,155,1.0,1.0
111,2010-04-25,199,0.0,0.0
112,2010-04-26,220,1.0,1.0
113,2010-04-27,225,0.0,0.0
114,2010-04-28,228,0.0,0.0
115,2010-04-29,229,0.0,0.0
116,2010-04-30,227,0.0,0.0
117,2010-05-01,156,1.0,1.0
118,2010-05-02,199,0.0,0.0
119,2010-05-03,228,1.0,1.0
120,2010-05-04,227,0.0,0.0
121,2010-05-05,231,0.0,0.0
122,2010-05-06,229,0.0,0.0
123,2010-05-07,228,0.0,0.0
124,2010-05-08,156,1.0,1.0
125,2010-05-09,196,0.0,0.0
126,2010-05-10,230,0.0,0.0
127,2010-05-11,228,0.0,0.0
128,2010-05-12,223,0.0,0.0
129,2010-05-13,222,1.0,1.0
130,2010-05-14,222,4.0,1.0
131,2010-05-15,149,0.0,0.0
132,2010-05-16,204,0.0,0.0
133,2010-05-17,228,1.0,1.0
134,2010-05-18,226,0.0,0.0
135,2010-05-19,229,0.0,0.0
136,2010-05-20,230,0.0,0.0
137,2010-05-21,225,1.0,1.0
138,2010-05-22,151,1.0,1.0
139,2010-05-23,200,0.0,0.0
140,2010-05-24,224,0.0,0.0
141,2010-05-25,229,0.0,0.0
142,2010-05-26,225,1.0,1.0
143,2010-05-27,228,0.0,0.0
144,2010-05-28,219,2.0,1.0
145,2010-05-29,145,0.0,0.0
146,2010-05-30,153,0.0,0.0
147,2010-05-31,205,0.0,0.0
148,2010-06-01,220,1.0,1.0
149,2010-06-02,227,0.0,0.0
150,2010-06-03,214,0.0,0.0
151,2010-06-04,225,0.0,0.0
152,2010-06-05,151,0.0,0.0
153,2010-06-06,197,0.0,0.0
154,2010-06-07,228,0.0,0.0
155,2010-06-08,229,0.0,0.0
156,2010-06-09,226,0.0,0.0
157,2010-06-10,222,0.0,0.0
158,2010-06-11,223,0.0,0.0
159,2010-06-12,151,0.0,0.0
160,2010-06-13,201,1.0,1.0
161,2010-06-14,224,0.0,0.0
162,2010-06-15,225,2.0,1.0
163,2010-06-16,223,0.0,0.0
164,2010-06-17,226,0.0,0.0
165,2010-06-18,220,0.0,0.0
166,2010-06-19,150,0.0,0.0
167,2010-06-20,198,0.0,0.0
168,2010-06-21,224,1.0,1.0
169,2010-06-22,223,0.0,0.0
170,2010-06-23,219,3.0,1.0
171,2010-06-24,212,2.0,1.0
172,2010-06-25,223,1.0,1.0
173,2010-06-26,151,1.0,1.0
174,2010-06-27,198,2.0,1.0
175,2010-06-28,216,2.0,1.0
176,2010-06-29,224,0.0,0.0
177,2010-06-30,228,0.0,0.0
178,2010-07-01,223,1.0,1.0
179,2010-07-02,224,2.0,1.0
180,2010-07-03,150,0.0,0.0
181,2010-07-04,137,1.0,1.0
182,2010-07-05,207,1.0,1.0
183,2010-07-06,225,1.0,1.0
184,2010-07-07,222,1.0,1.0
185,2010-07-08,223,0.0,0.0
186,2010-07-09,224,1.0,1.0
187,2010-07-10,149,0.0,0.0
188,2010-07-11,204,0.0,0.0
189,2010-07-12,220,4.0,1.0
190,2010-07-13,213,3.0,1.0
191,2010-07-14,216,0.0,0.0
192,2010-07-15,218,2.0,1.0
193,2010-07-16,227,0.0,0.0
194,2010-07-17,156,2.0,1.0
195,2010-07-18,203,0.0,0.0
196,2010-07-19,219,1.0,1.0
197,2010-07-20,223,2.0,1.0
198,2010-07-21,217,1.0,1.0
199,2010-07-22,225,0.0,0.0
200,2010-07-23,221,1.0,1.0
201,2010-07-24,145,0.0,0.0
202,2010-07-25,188,3.0,1.0
203,2010-07-26,223,1.0,1.0
204,2010-07-27,224,0.0,0.0
205,2010-07-28,228,0.0,0.0
206,2010-07-29,212,4.0,1.0
207,2010-07-30,224,1.0,1.0
208,2010-07-31,150,1.0,1.0
209,2010-08-01,201,0.0,0.0
210,2010-08-02,228,0.0,0.0
211,2010-08-03,226,0.0,0.0
212,2010-08-04,224,1.0,1.0
213,2010-08-05,201,0.0,0.0
214,2010-08-06,218,3.0,1.0
215,2010-08-07,152,0.0,0.0
216,2010-08-08,204,0.0,0.0
217,2010-08-09,227,0.0,0.0
218,2010-08-10,222,0.0,0.0
219,2010-08-11,222,2.0,1.0
220,2010-08-12,211,5.0,1.0
221,2010-08-13,222,2.0,1.0
222,2010-08-14,153,0.0,0.0
223,2010-08-15,203,0.0,0.0
224,2010-08-16,222,1.0,1.0
225,2010-08-17,223,0.0,0.0
226,2010-08-18,222,0.0,0.0
227,2010-08-19,230,1.0,1.0
228,2010-08-20,227,0.0,0.0
229,2010-08-21,146,0.0,0.0
230,2010-08-22,198,3.0,1.0
231,2010-08-23,224,3.0,1.0
232,2010-08-24,221,0.0,0.0
233,2010-08-25,220,1.0,1.0
234,2010-08-26,226,0.0,0.0
235,2010-08-27,229,0.0,0.0
236,2010-08-28,145,0.0,0.0
237,2010-08-29,205,0.0,0.0
238,2010-08-30,228,0.0,0.0
239,2010-08-31,220,0.0,0.0
240,2010-09-01,222,0.0,0.0
241,2010-09-02,226,0.0,0.0
242,2010-09-03,224,0.0,0.0
243,2010-09-04,137,0.0,0.0
244,2010-09-05,151,0.0,0.0
245,2010-09-06,211,1.0,1.0
246,2010-09-07,225,0.0,0.0
247,2010-09-08,221,0.0,0.0
248,2010-09-09,226,0.0,0.0
249,2010-09-10,227,1.0,1.0
250,2010-09-11,151,0.0,0.0
251,2010-09-12,201,1.0,1.0
252,2010-09-13,225,1.0,1.0
253,2010-09-14,220,0.0,0.0
254,2010-09-15,222,0.0,0.0
255,2010-09-16,223,0.0,0.0
256,2010-09-17,225,0.0,0.0
257,2010-09-18,150,1.0,1.0
258,2010-09-19,200,0.0,0.0
259,2010-09-20,223,0.0,0.0
260,2010-09-21,219,0.0,0.0
261,2010-09-22,219,0.0,0.0
262,2010-09-23,223,0.0,0.0
263,2010-09-24,226,0.0,0.0
264,2010-09-25,152,0.0,0.0
265,2010-09-26,200,1.0,1.0
266,2010-09-27,213,0.0,0.0
267,2010-09-28,212,1.0,1.0
268,2010-09-29,220,0.0,0.0
269,2010-09-30,204,1.0,1.0
270,2010-10-01,218,2.0,1.0
271,2010-10-02,147,0.0,0.0
272,2010-10-03,201,1.0,1.0
273,2010-10-04,224,1.0,1.0
274,2010-10-05,220,0.0,0.0
275,2010-10-06,227,0.0,0.0
276,2010-10-07,228,0.0,0.0
277,2010-10-08,227,0.0,0.0
278,2010-10-09,145,0.0,0.0
279,2010-10-10,199,0.0,0.0
280,2010-10-11,229,0.0,0.0
281,2010-10-12,223,0.0,0.0
282,2010-10-13,227,0.0,0.0
283,2010-10-14,228,2.0,1.0
284,2010-10-15,230,1.0,1.0
285,2010-10-16,147,0.0,0.0
286,2010-10-17,201,0.0,0.0
287,2010-10-18,230,0.0,0.0
288,2010-10-19,228,0.0,0.0
289,2010-10-20,228,0.0,0.0
290,2010-10-21,227,1.0,1.0
291,2010-10-22,229,1.0,1.0
292,2010-10-23,145,0.0,0.0
293,2010-10-24,204,0.0,0.0
294,2010-10-25,227,0.0,0.0
295,2010-10-26,217,0.0,0.0
296,2010-10-27,212,3.0,1.0
297,2010-10-28,226,0.0,0.0
