,fl_date,number_flight,number_anormals,anormal
0,2010-01-01,316,2.0,1.0
1,2010-01-02,319,3.0,1.0
2,2010-01-03,325,6.0,1.0
3,2010-01-04,326,3.0,1.0
4,2010-01-05,307,2.0,1.0
5,2010-01-06,304,0.0,0.0
6,2010-01-07,312,0.0,0.0
7,2010-01-08,312,1.0,1.0
8,2010-01-09,275,0.0,0.0
9,2010-01-10,313,1.0,1.0
10,2010-01-11,312,1.0,1.0
11,2010-01-12,298,0.0,0.0
12,2010-01-13,302,0.0,0.0
13,2010-01-14,317,0.0,0.0
14,2010-01-15,318,2.0,1.0
15,2010-01-16,276,5.0,1.0
16,2010-01-17,303,0.0,0.0
17,2010-01-18,307,0.0,0.0
18,2010-01-19,296,0.0,0.0
19,2010-01-20,302,0.0,0.0
20,2010-01-21,315,0.0,0.0
21,2010-01-22,318,0.0,0.0
22,2010-01-23,276,0.0,0.0
23,2010-01-24,300,1.0,1.0
24,2010-01-25,258,5.0,1.0
25,2010-01-26,297,0.0,0.0
26,2010-01-27,303,0.0,0.0
27,2010-01-28,315,0.0,0.0
28,2010-01-29,311,0.0,0.0
29,2010-01-30,240,0.0,0.0
30,2010-01-31,311,0.0,0.0
31,2010-02-01,311,0.0,0.0
32,2010-02-02,295,0.0,0.0
33,2010-02-03,298,0.0,0.0
34,2010-02-04,313,1.0,1.0
35,2010-02-05,299,1.0,1.0
36,2010-02-06,212,2.0,1.0
37,2010-02-07,295,1.0,1.0
38,2010-02-08,300,1.0,1.0
39,2010-02-09,276,1.0,1.0
40,2010-02-10,31,0.0,0.0
41,2010-02-11,255,1.0,1.0
42,2010-02-12,328,3.0,1.0
43,2010-02-13,302,2.0,1.0
44,2010-02-14,321,1.0,1.0
45,2010-02-15,324,1.0,1.0
46,2010-02-16,293,7.0,1.0
47,2010-02-17,321,1.0,1.0
48,2010-02-18,331,1.0,1.0
49,2010-02-19,331,2.0,1.0
50,2010-02-20,304,0.0,0.0
51,2010-02-21,329,0.0,0.0
52,2010-02-22,325,1.0,1.0
53,2010-02-23,321,0.0,0.0
54,2010-02-24,324,1.0,1.0
55,2010-02-25,248,2.0,1.0
56,2010-02-26,143,1.0,1.0
57,2010-02-27,279,1.0,1.0
58,2010-02-28,329,0.0,0.0
59,2010-03-01,302,0.0,0.0
60,2010-03-02,321,0.0,0.0
61,2010-03-03,317,1.0,1.0
62,2010-03-04,331,0.0,0.0
63,2010-03-05,332,1.0,1.0
64,2010-03-06,308,1.0,1.0
65,2010-03-07,330,0.0,0.0
66,2010-03-08,327,0.0,0.0
67,2010-03-09,322,0.0,0.0
68,2010-03-10,323,1.0,1.0
69,2010-03-11,330,2.0,1.0
70,2010-03-12,328,5.0,1.0
71,2010-03-13,121,3.0,1.0
72,2010-03-14,231,6.0,1.0
73,2010-03-15,315,2.0,1.0
74,2010-03-16,323,0.0,0.0
75,2010-03-17,322,0.0,0.0
76,2010-03-18,330,1.0,1.0
77,2010-03-19,332,0.0,0.0
78,2010-03-20,308,1.0,1.0
79,2010-03-21,329,0.0,0.0
80,2010-03-22,320,1.0,1.0
81,2010-03-23,323,1.0,1.0
82,2010-03-24,266,2.0,1.0
83,2010-03-25,331,0.0,0.0
84,2010-03-26,332,0.0,0.0
85,2010-03-27,306,0.0,0.0
86,2010-03-28,326,0.0,0.0
87,2010-03-29,319,4.0,1.0
88,2010-03-30,320,4.0,1.0
89,2010-03-31,321,0.0,0.0
90,2010-04-01,331,0.0,0.0
91,2010-04-02,331,0.0,0.0
92,2010-04-03,310,2.0,1.0
93,2010-04-04,329,0.0,0.0
94,2010-04-05,327,1.0,1.0
95,2010-04-06,312,0.0,0.0
96,2010-04-07,310,1.0,1.0
97,2010-04-08,310,0.0,0.0
98,2010-04-09,315,0.0,0.0
99,2010-04-10,293,0.0,0.0
100,2010-04-11,309,0.0,0.0
101,2010-04-12,310,0.0,0.0
