,fl_date,number_flight,number_anormals,anormal
0,2010-01-01,195,0.0,0.0
1,2010-01-02,192,1.0,1.0
2,2010-01-03,231,4.0,1.0
3,2010-01-04,282,0.0,0.0
4,2010-01-05,275,0.0,0.0
5,2010-01-06,269,0.0,0.0
6,2010-01-07,275,0.0,0.0
7,2010-01-08,269,1.0,1.0
8,2010-01-09,175,0.0,0.0
9,2010-01-10,245,0.0,0.0
10,2010-01-11,284,0.0,0.0
11,2010-01-12,272,0.0,0.0
12,2010-01-13,277,0.0,0.0
13,2010-01-14,291,1.0,1.0
14,2010-01-15,290,1.0,1.0
15,2010-01-16,171,0.0,0.0
16,2010-01-17,231,0.0,0.0
17,2010-01-18,271,0.0,0.0
18,2010-01-19,273,0.0,0.0
19,2010-01-20,274,1.0,1.0
20,2010-01-21,285,0.0,0.0
21,2010-01-22,287,0.0,0.0
22,2010-01-23,174,0.0,0.0
23,2010-01-24,239,1.0,1.0
24,2010-01-25,167,5.0,1.0
25,2010-01-26,270,0.0,0.0
26,2010-01-27,276,0.0,0.0
27,2010-01-28,262,1.0,1.0
28,2010-01-29,274,0.0,0.0
29,2010-01-30,165,1.0,1.0
30,2010-01-31,242,0.0,0.0
31,2010-02-01,284,0.0,0.0
32,2010-02-02,273,0.0,0.0
33,2010-02-03,273,0.0,0.0
34,2010-02-04,291,0.0,0.0
35,2010-02-05,273,0.0,0.0
36,2010-02-06,131,0.0,0.0
37,2010-02-07,224,1.0,1.0
38,2010-02-08,270,1.0,1.0
39,2010-02-09,246,0.0,0.0
40,2010-02-10,25,0.0,0.0
41,2010-02-11,167,0.0,0.0
42,2010-02-12,268,1.0,1.0
43,2010-02-13,176,1.0,1.0
44,2010-02-14,229,0.0,0.0
45,2010-02-15,263,1.0,1.0
46,2010-02-16,228,4.0,1.0
47,2010-02-17,275,0.0,0.0
48,2010-02-18,290,0.0,0.0
49,2010-02-19,289,0.0,0.0
50,2010-02-20,179,0.0,0.0
51,2010-02-21,253,0.0,0.0
52,2010-02-22,289,0.0,0.0
53,2010-02-23,267,3.0,1.0
54,2010-02-24,250,1.0,1.0
55,2010-02-25,170,4.0,1.0
56,2010-02-26,94,3.0,1.0
57,2010-02-27,160,0.0,0.0
58,2010-02-28,250,0.0,0.0
59,2010-03-01,289,0.0,0.0
60,2010-03-02,274,0.0,0.0
61,2010-03-03,263,0.0,0.0
62,2010-03-04,287,0.0,0.0
63,2010-03-05,288,1.0,1.0
64,2010-03-06,183,0.0,0.0
65,2010-03-07,252,0.0,0.0
66,2010-03-08,291,0.0,0.0
67,2010-03-09,284,0.0,0.0
68,2010-03-10,285,0.0,0.0
69,2010-03-11,290,2.0,1.0
70,2010-03-12,283,2.0,1.0
71,2010-03-13,148,1.0,1.0
72,2010-03-14,212,3.0,1.0
73,2010-03-15,268,3.0,1.0
