,fl_date,number_flight,number_anormals,anormal
0,2010-01-01,109,1.0,1.0
1,2010-01-02,113,1.0,1.0
2,2010-01-03,140,1.0,1.0
3,2010-01-04,145,0.0,0.0
4,2010-01-05,145,0.0,0.0
5,2010-01-06,145,0.0,0.0
6,2010-01-07,139,0.0,0.0
7,2010-01-08,147,0.0,0.0
8,2010-01-09,95,0.0,0.0
9,2010-01-10,131,0.0,0.0
10,2010-01-11,147,0.0,0.0
11,2010-01-12,143,0.0,0.0
12,2010-01-13,144,0.0,0.0
13,2010-01-14,148,0.0,0.0
14,2010-01-15,148,1.0,1.0
15,2010-01-16,92,0.0,0.0
16,2010-01-17,128,0.0,0.0
17,2010-01-18,148,0.0,0.0
18,2010-01-19,143,0.0,0.0
19,2010-01-20,145,0.0,0.0
20,2010-01-21,148,1.0,1.0
21,2010-01-22,149,0.0,0.0
22,2010-01-23,93,0.0,0.0
23,2010-01-24,128,2.0,1.0
24,2010-01-25,131,2.0,1.0
25,2010-01-26,140,0.0,0.0
26,2010-01-27,146,0.0,0.0
27,2010-01-28,149,0.0,0.0
28,2010-01-29,140,1.0,1.0
29,2010-01-30,4,0.0,0.0
30,2010-01-31,95,0.0,0.0
31,2010-02-01,146,0.0,0.0
32,2010-02-02,142,0.0,0.0
33,2010-02-03,146,0.0,0.0
34,2010-02-04,148,0.0,0.0
35,2010-02-05,134,0.0,0.0
36,2010-02-06,78,0.0,0.0
37,2010-02-07,113,0.0,0.0
38,2010-02-08,137,1.0,1.0
39,2010-02-09,124,1.0,1.0
40,2010-02-10,81,0.0,0.0
41,2010-02-11,114,0.0,0.0
42,2010-02-12,136,0.0,0.0
43,2010-02-13,88,0.0,0.0
44,2010-02-14,121,0.0,0.0
45,2010-02-15,137,0.0,0.0
46,2010-02-16,138,1.0,1.0
47,2010-02-17,146,0.0,0.0
48,2010-02-18,149,0.0,0.0
49,2010-02-19,149,0.0,0.0
50,2010-02-20,101,0.0,0.0
51,2010-02-21,133,0.0,0.0
52,2010-02-22,146,0.0,0.0
53,2010-02-23,139,0.0,0.0
54,2010-02-24,140,1.0,1.0
55,2010-02-25,126,0.0,0.0
56,2010-02-26,109,2.0,1.0
57,2010-02-27,101,0.0,0.0
58,2010-02-28,133,0.0,0.0
59,2010-03-01,147,0.0,0.0
60,2010-03-02,138,0.0,0.0
61,2010-03-03,145,1.0,1.0
62,2010-03-04,150,0.0,0.0
63,2010-03-05,150,0.0,0.0
64,2010-03-06,100,0.0,0.0
65,2010-03-07,132,0.0,0.0
66,2010-03-08,148,0.0,0.0
67,2010-03-09,144,0.0,0.0
68,2010-03-10,143,0.0,0.0
69,2010-03-11,148,1.0,1.0
70,2010-03-12,146,1.0,1.0
71,2010-03-13,90,0.0,0.0
72,2010-03-14,122,1.0,1.0
73,2010-03-15,144,0.0,0.0
74,2010-03-16,144,0.0,0.0
75,2010-03-17,145,0.0,0.0
76,2010-03-18,150,0.0,0.0
77,2010-03-19,149,0.0,0.0
78,2010-03-20,105,1.0,1.0
79,2010-03-21,133,2.0,1.0
80,2010-03-22,147,1.0,1.0
81,2010-03-23,145,0.0,0.0
82,2010-03-24,143,0.0,0.0
83,2010-03-25,149,0.0,0.0
84,2010-03-26,150,0.0,0.0
85,2010-03-27,106,0.0,0.0
86,2010-03-28,132,1.0,1.0
87,2010-03-29,149,0.0,0.0
88,2010-03-30,144,0.0,0.0
89,2010-03-31,146,0.0,0.0
90,2010-04-01,150,0.0,0.0
91,2010-04-02,150,1.0,1.0
92,2010-04-03,105,0.0,0.0
93,2010-04-04,133,0.0,0.0
94,2010-04-05,147,0.0,0.0
95,2010-04-06,135,0.0,0.0
96,2010-04-07,134,0.0,0.0
97,2010-04-08,137,0.0,0.0
98,2010-04-09,138,0.0,0.0
99,2010-04-10,94,0.0,0.0
100,2010-04-11,123,0.0,0.0
101,2010-04-12,137,0.0,0.0
102,2010-04-13,136,0.0,0.0
103,2010-04-14,137,0.0,0.0
104,2010-04-15,140,1.0,1.0
105,2010-04-16,138,0.0,0.0
106,2010-04-17,97,0.0,0.0
107,2010-04-18,124,0.0,0.0
108,2010-04-19,136,0.0,0.0
109,2010-04-20,135,0.0,0.0
110,2010-04-21,136,0.0,0.0
111,2010-04-22,139,0.0,0.0
112,2010-04-23,139,0.0,0.0
113,2010-04-24,95,0.0,0.0
114,2010-04-25,121,2.0,1.0
115,2010-04-26,134,0.0,0.0
116,2010-04-27,135,0.0,0.0
117,2010-04-28,136,0.0,0.0
118,2010-04-29,139,1.0,1.0
119,2010-04-30,139,0.0,0.0
120,2010-05-01,96,0.0,0.0
121,2010-05-02,122,0.0,0.0
122,2010-05-03,135,0.0,0.0
123,2010-05-04,134,0.0,0.0
124,2010-05-05,137,0.0,0.0
125,2010-05-06,138,0.0,0.0
126,2010-05-07,141,0.0,0.0
127,2010-05-08,95,0.0,0.0
128,2010-05-09,127,1.0,1.0
129,2010-05-10,144,0.0,0.0
130,2010-05-11,141,0.0,0.0
131,2010-05-12,140,0.0,0.0
132,2010-05-13,143,1.0,1.0
133,2010-05-14,142,0.0,0.0
134,2010-05-15,94,0.0,0.0
135,2010-05-16,131,1.0,1.0
136,2010-05-17,143,0.0,0.0
137,2010-05-18,140,0.0,0.0
138,2010-05-19,141,0.0,0.0
139,2010-05-20,144,0.0,0.0
140,2010-05-21,145,1.0,1.0
141,2010-05-22,98,0.0,0.0
142,2010-05-23,130,0.0,0.0
143,2010-05-24,144,1.0,1.0
144,2010-05-25,141,0.0,0.0
145,2010-05-26,140,0.0,0.0
146,2010-05-27,142,3.0,1.0
147,2010-05-28,142,1.0,1.0
148,2010-05-29,93,0.0,0.0
149,2010-05-30,104,0.0,0.0
150,2010-05-31,126,0.0,0.0
151,2010-06-01,143,1.0,1.0
152,2010-06-02,138,0.0,0.0
153,2010-06-03,141,0.0,0.0
154,2010-06-04,141,0.0,0.0
155,2010-06-05,99,0.0,0.0
156,2010-06-06,126,0.0,0.0
157,2010-06-07,143,0.0,0.0
158,2010-06-08,140,0.0,0.0
159,2010-06-09,141,0.0,0.0
160,2010-06-10,141,0.0,0.0
161,2010-06-11,140,0.0,0.0
162,2010-06-12,98,0.0,0.0
163,2010-06-13,124,0.0,0.0
164,2010-06-14,140,0.0,0.0
165,2010-06-15,137,2.0,1.0
166,2010-06-16,137,0.0,0.0
167,2010-06-17,139,2.0,1.0
168,2010-06-18,140,0.0,0.0
169,2010-06-19,97,0.0,0.0
170,2010-06-20,126,0.0,0.0
171,2010-06-21,139,1.0,1.0
172,2010-06-22,139,1.0,1.0
173,2010-06-23,135,1.0,1.0
174,2010-06-24,139,0.0,0.0
175,2010-06-25,139,0.0,0.0
176,2010-06-26,97,0.0,0.0
177,2010-06-27,126,1.0,1.0
178,2010-06-28,137,1.0,1.0
179,2010-06-29,140,2.0,1.0
180,2010-06-30,142,1.0,1.0
181,2010-07-01,141,0.0,0.0
182,2010-07-02,140,1.0,1.0
183,2010-07-03,99,0.0,0.0
184,2010-07-04,103,0.0,0.0
185,2010-07-05,135,0.0,0.0
186,2010-07-06,142,0.0,0.0
187,2010-07-07,138,0.0,0.0
188,2010-07-08,142,0.0,0.0
189,2010-07-09,142,0.0,0.0
190,2010-07-10,100,0.0,0.0
191,2010-07-11,129,0.0,0.0
192,2010-07-12,140,0.0,0.0
193,2010-07-13,135,3.0,1.0
194,2010-07-14,136,3.0,1.0
195,2010-07-15,141,2.0,1.0
196,2010-07-16,142,1.0,1.0
197,2010-07-17,102,1.0,1.0
198,2010-07-18,129,0.0,0.0
199,2010-07-19,139,2.0,1.0
200,2010-07-20,138,0.0,0.0
201,2010-07-21,138,0.0,0.0
202,2010-07-22,139,2.0,1.0
203,2010-07-23,143,1.0,1.0
204,2010-07-24,97,0.0,0.0
205,2010-07-25,126,0.0,0.0
206,2010-07-26,140,0.0,0.0
207,2010-07-27,141,0.0,0.0
208,2010-07-28,142,1.0,1.0
209,2010-07-29,135,4.0,1.0
210,2010-07-30,142,0.0,0.0
211,2010-07-31,102,0.0,0.0
212,2010-08-01,128,0.0,0.0
213,2010-08-02,141,0.0,0.0
214,2010-08-03,141,0.0,0.0
215,2010-08-04,141,0.0,0.0
216,2010-08-05,129,3.0,1.0
217,2010-08-06,142,1.0,1.0
218,2010-08-07,106,0.0,0.0
219,2010-08-08,128,0.0,0.0
220,2010-08-09,142,0.0,0.0
221,2010-08-10,143,0.0,0.0
222,2010-08-11,143,0.0,0.0
223,2010-08-12,137,2.0,1.0
224,2010-08-13,142,1.0,1.0
225,2010-08-14,105,1.0,1.0
226,2010-08-15,125,1.0,1.0
227,2010-08-16,138,0.0,0.0
228,2010-08-17,138,0.0,0.0
229,2010-08-18,139,0.0,0.0
230,2010-08-19,142,0.0,0.0
231,2010-08-20,143,1.0,1.0
232,2010-08-21,110,0.0,0.0
233,2010-08-22,120,0.0,0.0
234,2010-08-23,139,0.0,0.0
235,2010-08-24,138,0.0,0.0
236,2010-08-25,138,0.0,0.0
237,2010-08-26,143,1.0,1.0
238,2010-08-27,142,0.0,0.0
239,2010-08-28,108,0.0,0.0
240,2010-08-29,123,0.0,0.0
241,2010-08-30,143,0.0,0.0
242,2010-08-31,140,0.0,0.0
243,2010-09-01,140,0.0,0.0
244,2010-09-02,141,1.0,1.0
245,2010-09-03,142,0.0,0.0
246,2010-09-04,109,1.0,1.0
247,2010-09-05,102,0.0,0.0
248,2010-09-06,134,0.0,0.0
249,2010-09-07,139,0.0,0.0
250,2010-09-08,135,0.0,0.0
251,2010-09-09,138,1.0,1.0
252,2010-09-10,137,0.0,0.0
253,2010-09-11,96,0.0,0.0
254,2010-09-12,117,0.0,0.0
255,2010-09-13,135,0.0,0.0
256,2010-09-14,133,0.0,0.0
257,2010-09-15,134,0.0,0.0
258,2010-09-16,135,0.0,0.0
259,2010-09-17,137,1.0,1.0
260,2010-09-18,95,0.0,0.0
261,2010-09-19,119,0.0,0.0
262,2010-09-20,134,0.0,0.0
263,2010-09-21,133,0.0,0.0
264,2010-09-22,134,0.0,0.0
265,2010-09-23,135,0.0,0.0
266,2010-09-24,135,0.0,0.0
267,2010-09-25,96,0.0,0.0
268,2010-09-26,121,0.0,0.0
269,2010-09-27,132,0.0,0.0
270,2010-09-28,127,0.0,0.0
271,2010-09-29,133,0.0,0.0
272,2010-09-30,125,2.0,1.0
273,2010-10-01,129,1.0,1.0
274,2010-10-02,98,0.0,0.0
275,2010-10-03,121,1.0,1.0
276,2010-10-04,135,0.0,0.0
277,2010-10-05,131,0.0,0.0
278,2010-10-06,133,0.0,0.0
279,2010-10-07,137,0.0,0.0
280,2010-10-08,137,0.0,0.0
281,2010-10-09,100,0.0,0.0
282,2010-10-10,122,0.0,0.0
283,2010-10-11,135,1.0,1.0
284,2010-10-12,134,0.0,0.0
285,2010-10-13,134,0.0,0.0
286,2010-10-14,134,0.0,0.0
